Action,Description
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetSoundDetectorIntent,Set Recognized Sounds
com.sindresorhus.Actions.WaitMilliseconds,Wait
com.sindresorhus.Actions.IsAudioPlayingIntent,Is Audio Playing
com.apple.DocumentsApp.ScanDocument,Scan Document
com.sindresorhus.Actions.ScanDocumentsIntent,Scan Documents through Sindresorhus
com.sindresorhus.Actions.GetEmojisIntent,Get Emojis through Sindresorhus
com.sindresorhus.Actions.SetUniformTypeIdentifier,Set Uniform Type Identifier
com.sindresorhus.Actions.GetUniformTypeIdentifierIntent,Get Uniform Type Identifier
com.apple.shortcuts.AddShortcutToHomeScreenAction,Add Shortcut to Home Screen
com.omnigroup.OmniFocus3.iOS.AddTaskIntent,Add Task on OmniFocus 3
AsheKube.app.a-Shell-mini.PutFileIntent,Put File in a-Shell Mini
AsheKube.app.a-Shell-mini.ExecuteCommandIntent,Execute Command in a-Shell Mini
AsheKube.app.a-Shell-mini.GetFileIntent,Get File in a-Shell Mini
com.apple.Numbers.TNiOSAddValuesToFormIntent,Add Values to Numbers Form
com.brogrammers.charty.AddCustomThemeIntent,Add Custom Theme in Charty
dk.simonbs.DataJar.InsertValueInArrayIntent,Insert Value in Array in DataJar
com.alexhay.ToolboxProForShortcuts.HomeIntent,Home in Toolbox Pro
com.bloombuilt.dayone-ios.FindEntriesIntent,Find Entries in Day One
com.bloombuilt.dayone-ios.AppendToEntryIntent,Append to Entry in Day One
is.workflow.actions.dropbox.savefile,Save File in Dropbox
com.flexibits.fantastical2.addevent,Add Event in Fantastical 2
net.shinyfrog.bear-IOS.add,Add Note in Shinyfrog
is.workflow.actions.instapaper.add,Add to Instapaper
ai.perplexity.app.QueryPerplexity,Search on Perplexity AI
com.apple.Numbers.TNiOSAddValuesToSpreadsheetIntent,Add Values to Numbers Spreadsheet
dk.simonbs.DataJar.GetKeysIntent,Get Keys in DataJar
dk.simonbs.DataJar.GetTypeOfValueIntent,Get Type of Value in DataJar
dk.simonbs.DataJar.ViewValueIntent,View Value in DataJar
com.alexhay.ToolboxProForShortcuts.QuickMenu2Intent,Quick Menu 2 in Toolbox Pro
com.bloombuilt.dayone-ios.CreateEntryIntent,Create Entry in Day One
com.sindresorhus.Actions.CreateMenuItem,Create Menu Item through Sindresorhus
is.workflow.actions.evernote.new,New Evernote
com.apple.clock.DeleteAlarmIntent,Delete Alarm
com.alexhay.ToolboxProForShortcuts.ReverseListIntent,Reverse List in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.IsPremiumUnlockedIntent,Is Premium Unlocked in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.AddToListIntent,Add to List in Toolbox Pro
ke.bou.WidgetPack.ImageFileIntent,Image File in WidgetPack
ke.bou.WidgetPack.ModifierClipShapeIntent,Modifier Clip Shape in WidgetPack
ke.bou.WidgetPack.ModifierScaledToFitIntent,Modifier Scaled to Fit in WidgetPack
ke.bou.WidgetPack.ZStackIntent,ZStack in WidgetPack
ke.bou.WidgetPack.UpdateWidgetIntent,Update Widget in WidgetPack
com.alipay.iphoneclient.StartScanIntent,Start Scan in Alipay
com.alipay.iphoneclient.StartPayIntent,Start Pay in Alipay
is.workflow.actions.getclassaction,Get Object of Class
com.juniperphoton.MyerList.AddReminderAppIntent,Add Reminder in MyerList
com.juniperphoton.MyerList.EndLiveActivityIntent,End Live Activity in MyerList
app.surfed.app.OpenURLIntent,Open URL in Surfed
com.bloombuilt.dayone-mac.CreateEntryIntent,Create Entry in Day One Mac
com.sindresorhus.Actions.GlobalVariableSetNumber,Global Variable Set Number through Sindresorhus
com.sindresorhus.Actions.GlobalVariableGetNumber,Global Variable Get Number through Sindresorhus
com.sindresorhus.Actions.GetIndexOfListItem,Get Index of List Item through Sindresorhus
com.sindresorhus.Actions.HideShortcutsAppIntent,Hide Shortcuts App through Sindresorhus
com.sindresorhus.Actions.PrettyPrintDictionariesIntent,Pretty Print Dictionaries through Sindresorhus
com.sindresorhus.Actions.AddToListIntent,Add to List through Sindresorhus
dk.simonbs.DataJar.DeleteValueIntent,Delete Value in DataJar
com.sindresorhus.Actions.DateToUnixTimeIntent,Date to Unix Time through Sindresorhus
com.sindresorhus.Actions.RemoveDuplicatesFromListIntent,Remove Duplicates from List through Sindresorhus
dk.simonbs.DataJar.GetChildCountIntent,Get Child Count in DataJar
com.sindresorhus.Actions.FilterListIntent,Filter List through Sindresorhus
ke.bou.WidgetPack.ColorIntent,Color through WidgetPack
ke.bou.WidgetPack.VerbatimTextIntent,Verbatim Text in WidgetPack
ke.bou.WidgetPack.ModifierFontIntent,Modifier Font in WidgetPack
ke.bou.WidgetPack.HorizontalStackIntent,Horizontal Stack in WidgetPack
ke.bou.WidgetPack.ModifierFixedFrameIntent,Modifier Fixed Frame in WidgetPack
ke.bou.WidgetPack.SpacerIntent,Spacer in WidgetPack
ke.bou.WidgetPack.FontIntent,Font in WidgetPack
ke.bou.WidgetPack.ModifierPaddingIntent,Modifier Padding in WidgetPack
ke.bou.WidgetPack.LinkIntent,Link in WidgetPack
ke.bou.WidgetPack.VerticalStackIntent,Vertical Stack in WidgetPack
ke.bou.WidgetPack.ModifierBackgroundIntent,Modifier Background in WidgetPack
ke.bou.WidgetPack.PreviewWidgetIntent,Preview Widget in WidgetPack
com.alexhay.ToolboxProForShortcuts.CreateMenuIntent,Create Menu in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.HapticFeedbackIntent,Haptic Feedback in Toolbox Pro
com.apple.NanoSettings.NPRFSetAlwaysOnIntent,Set Watch Always On
com.apple.NanoSettings.NPRFSetSilentModeIntent,Set Watch Silent Mode
com.apple.PBBridgeSupport.BridgeIntents.COSSetGizmoFaceIntent,Set Watch Face
DesignTech-SIA.Spendit.AI_AddTransactionIntent,Add Transaction in Spendit AI
DesignTech-SIA.Spendit.AI_ViewAccountIntent,View Account in Spendit AI
com.sindresorhus.Actions.GetUnsplashImageIntent,Get Unsplash Image through Sindresorhus
com.alexhay.ToolboxProForShortcuts.BlurImagesIntent,Blur Images in Toolbox Pro
com.google.chrome.ios.OpenInChromeIncognitoIntent,Open in Chrome Incognito
com.apple.news.TodayIntent,Open News Today
com.alexhay.ToolboxProForShortcuts.IsAudioPlayingIntent,Is Audio Playing in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.CheckForUpdatesIntent,Check for Updates in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.ShowNotificationIntent,Show Notification in Toolbox Pro
is.workflow.actions.properties.workflow,Get Details of Workflow
com.alexhay.ToolboxProForShortcuts.CheckGVIntent,Check GV in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetReminderListsIntent,Get Reminder Lists in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetReminderIDIntent,Get Reminder ID in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.EditReminderIntent,Edit Reminder in Toolbox Pro
maccatalyst.com.Christopher-Hannah.Text-Case.TextCaseIntent,Text Case in Text Case
com.alexhay.ToolboxProForShortcuts.CreateIconIntent,Create Icon in Toolbox Pro
net.shinyfrog.bear-IOS.open,Open on Shinyfrog
net.shinyfrog.bear-IOS.contents,Get Contents on Shinyfrog
ke.bou.GizmoPack.UniversalVariablesIntent,Universal Variables in GizmoPack
com.alexhay.ToolboxProForShortcuts.ScanDocumentIntent,Scan Document in Toolbox Pro
io.pushcut.Pushcut.ShowNotificationIntent,Show Notification in Pushcut
com.culturedcode.ThingsiPad.TAIItemEntity,Open Things 3 Item
com.culturedcode.ThingsiPad.TAIEditItems,Edit Things 3 Items
com.culturedcode.ThingsiPad.TAIAddTodo2,Add ToDo on Things 3
com.sindresorhus.Actions.RandomTextIntent,Random Text through Sindresorhus
com.alexhay.ToolboxProForShortcuts.CreateTextImageIntent,Create Text Image in Toolbox Pro
com.sindresorhus.Actions.FormatDurationIntent,Format Duration through Sindresorhus
com.apple.shortcuts.CreateShortcutiCloudLinkAction,Create iCloud Link
com.brogrammers.charty.NewChartIntent,New Chart in Charty
com.brogrammers.charty.AddSeriesToChartIntent,Add Series to Chart in Charty
com.brogrammers.charty.CopyChartToClipboardIntent,Copy Chart to Clipboard in Charty
org.fastdevsproject.altervista.Device-Monitor.RAMCleanIntent,RAM Clean in Device Monitor
com.alexhay.ToolboxProForShortcuts.EditFolderBookmarksIntent,Edit Folder Bookmarks in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.ListContentsOfBookmarkedFolderIntent,List Contents of Bookmarked Folder in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.EditBookmarkedFileIntent,Edit Bookmarked File in Toolbox Pro
com.sindresorhus.Actions.GenerateCSVIntent,Generate CSV through Sindresorhus
com.alexhay.ToolboxProForShortcuts.SaveFilesToBookmarkedFoldersIntent,Save Files to Bookmarked Folders in Toolbox Pro
com.sindresorhus.Actions.RemoveEmptyLinesIntent,Remove Empty Lines through Sindresorhus
app.shortcutify.Shortcutify.SpotifyPlayPauseIntent,Play/Pause Spotify in Shortcutify
com.sindresorhus.Actions.GlobalVariableGetText,Global Variable Get Text through Sindresorhus
com.sindresorhus.Actions.GlobalVariableSetText,Global Variable Set Text through Sindresorhus
com.sindresorhus.Actions.RemoveFromListIntent,Remove from List through Sindresorhus
com.sindresorhus.Actions.ScanQRCodesInImageIntent,Scan QR Codes in Image through Sindresorhus
com.agiletortoise.Drafts5.QueryDraftsIntent,Query Drafts in Drafts 5
com.agiletortoise.Drafts5.GetDraftIntent,Get Draft in Drafts 5
com.agiletortoise.Drafts5.RunActionIntent,Run Action in Drafts 5
com.omz-software.Pythonista3.PA3RunScriptIntent,Run Script in Pythonista 3
com.atow.LaunchCuts.GetFoldersIntent,Get Folders in LaunchCuts
com.atow.LaunchCuts.GetFolderIntent,Get Folder in LaunchCuts
com.culturedcode.ThingsiPhone.TAIAddTodo2,Add ToDo on Things 3
is.workflow.actions.silenceunknowncallers.set,Set Silence Unknown Callers
com.TickTick.task.TTAddTaskToCalendarIntent,Add Task to Calendar in TickTick
com.agiletortoise.Drafts5.CaptureIntent,Capture in Drafts 5
com.agiletortoise.Drafts-OSX.CaptureIntent,Capture in Drafts Mac
com.google.OPA.OPAAskGoogleIntent,Ask Google in OPA
com.grailr.CARROTweather.CurrentForecastIntent,Current Forecast in CARROT Weather
com.alexhay.ToolboxProForShortcuts.BookmarkFolderIntent,Bookmark Folder in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.RemoveItemsFromListIntent,Remove Items from List in Toolbox Pro
com.sindresorhus.Actions.SetFileCreationModificationDateIntent,Set File Creation Modification Date through Sindresorhus
com.alexhay.ToolboxProForShortcuts.GetCalendarsIntent,Get Calendars in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.CreateCalendarIntent,Create Calendar in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetAudioIntent,Get Audio in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetEventIDIntent,Get Event ID in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.EditEventIntent,Edit Event in Toolbox Pro
com.sindresorhus.Actions.RandomDateTimeIntent,Random Date Time through Sindresorhus
com.flexibits.fantastical2.iphone.FKRCreateFromInputIntent,Create Event in Fantastical 2
com.culturedcode.ThingsiPad.TAIDeleteItems,Delete Things 3 Items
com.alexhay.Console.LogMessageIntent,Log Message in Console
com.iconfactory.TotMobile.QueryDotIntent,Query Dot in Tot
com.iconfactory.TotMobile.SetDotIntent,Set Dot in Tot
com.sindresorhus.Actions.AskForText,Ask for Text through Sindresorhus
org.joinmastodon.app.SendPostIntent,Send Post in Mastodon
is.workflow.actions.dropbox.appendfile,Append File in Dropbox
com.google.chrome.ios.SearchInChromeIntent,Search in Chrome
com.zlineman.Jellyfish.ImportShortcutIntent,Import Shortcut in Jellyfish
com.apple.mobilesafari.CreateNewPrivateTab,Create New Private Tab in Safari
com.feelthemusi.musi.MPlayMyFavoritesIntent,Play My Favorites in Musi
com.feelthemusi.musi.MSearchIntent,Search in Musi
com.apple.ShortcutsActions.CellularPlanEntity,Filter Cellular Plan
com.apple.ShortcutsActions.SetDefaultCellularPlanAction,Set Default Cellular Plan
com.brogrammers.charty.GetInfoAllChartsIntent,Get Info All Charts in Charty
com.brogrammers.charty.DeleteChartIntent,Delete Chart in Charty
com.brogrammers.charty.NewChartWithSeriesIntent,New Chart with Series in Charty
com.brogrammers.charty.StyleAxisIntent,Style Axis in Charty
com.brogrammers.charty.AddMovingAverageIntent,Add Moving Average in Charty
com.sindresorhus.Actions.TrimWhitespaceIntent,Trim Whitespace through Sindresorhus
com.sindresorhus.Actions.ParseCSVIntent,Parse CSV through Sindresorhus
com.sindresorhus.Actions.ReverseListIntent,Reverse List through Sindresorhus
com.brogrammers.charty.StyleLineSeriesIntent,Style Line Series in Charty
com.apple.mobileslideshow.OpenCollectionIntent,Open Collection
com.alexhay.ToolboxProForShortcuts.GenerateUUIDIntent,Generate UUID in Toolbox Pro
com.omz-software.Pythonista.runscript,Run Script in Pythonista
com.alexhay.ToolboxProForShortcuts.ConvertCurrencyIntent,Convert Currency in Toolbox Pro
com.brogrammers.charty.StyleChartIntent,Style Chart in Charty
com.brogrammers.charty.StyleScatterSeriesIntent,Style Scatter Series in Charty
com.brogrammers.charty.GroupDataIntent,Group Data in Charty
com.brogrammers.charty.ExportChartAsImageIntent,Export Chart as Image in Charty
com.brogrammers.charty.UpdateWidgetsIntent,Update Widgets in Charty
com.dayonelog.dayoneiphone.post,Post in Day One
com.tantsissa.AutoSleep.ReadinessIntent,Readiness in AutoSleep
com.xvision.datamannext.ShowUsageIntent,Show Usage in DataMan Next
com.fifteenjugglers.solarwatch.ComputeSolarEventTimeIntent,Compute Solar Event Time in SolarWatch
ch.marcela.ada.LibTerm.RunCommandIntent,Run Command in LibTerm
com.sindresorhus.Actions.GlobalVariableDelete,Global Variable Delete through Sindresorhus
com.sindresorhus.Actions.TranscribeAudioIntent,Transcribe Audio through Sindresorhus
com.apple.shortcuts.TranscribeAudioAction,Transcribe Audio To Text
com.alexhay.ToolboxProForShortcuts.RecogniseSpeechIntent,Recognise Speech in Toolbox Pro
com.apple.Numbers.TNiOSOpenAnyDocumentIntent,Open Any Document
com.iconfactory.Tot.QueryDotIntent,Query Dot in Tot
com.iconfactory.Tot.AddToDotIntent,Add to Dot in Tot
com.iconfactory.TotMobile.GetDotIntent,Get Dot in Tot
com.agiletortoise.Drafts5.OpenDraftIntent,Open Draft in Drafts 5
com.iconfactory.Tot.ShowDotIntent,Show Dot in Tot
com.alexhay.ToolboxProForShortcuts.GetPhotoAlbumsIntent,Get Photo Albums in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.AddPhotoAlbumIntent,Add Photo Album in Toolbox Pro
AsheKube.app.a-Shell.PutFileIntent,Put File in a-Shell
AsheKube.app.a-Shell.GetFileIntent,Get File in a-Shell
com.google.GoogleMobile.SearchImageWithLensIntent,Search Image with Lens
com.alexhay.ToolboxProForShortcuts.CalculateWithSoulverIntent,Calculate with Soulver in Toolbox Pro
com.agiletortoise.Drafts5.QueryWorkspaceIntent,Query Workspace in Drafts 5
co.supertop.Castro-2.GetNowPlayingEpisodeDetailsIntent,Get Now Playing Episode Details in Castro 2
com.alexhay.ToolboxProForShortcuts.GetFilesFromBookmarkedFolderIntent,Get Files from Bookmarked Folder in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.DeleteFilesInBookmarkedFolderIntent,Delete Files in Bookmarked Folder in Toolbox Pro
dk.simonbs.Jayson.ViewJSONIntent,View JSON in Jayson
dk.simonbs.Jayson.GetFileIntent,Get File in Jayson
com.apple.Notes.CreateFolderLinkAction,Create Folder Link in Notes
com.alexhay.ToolboxProForShortcuts.DeleteFromDictionaryIntent,Delete from Dictionary in Toolbox Pro
com.brogrammers.charty.AddAverageIntent,Add Average in Charty
com.brogrammers.charty.StyleBarSeriesIntent,Style Bar Series in Charty
com.apple.mobilesafari.ReadingListItemEntity,Filter the Safari Reading List
dk.simonbs.Scriptable.RefreshAllWidgetsIntent,Refresh All Widgets in Scriptable
is.workflow.actions.cloudapp.upload,Upload to CloudApp
com.alexhay.ToolboxProForShortcuts.TagFilesIntent,Tag Files in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GenerateThumbnailsIntent,Generate Thumbnails in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetFileURLIntent,Get File URL in Toolbox Pro
com.culturedcode.ThingsMac.TAIItemEntity,Open Things 3 Item in Things Mac
com.culturedcode.ThingsMac.TAIAddTodo2,Add ToDo on Things 3 in Things Mac
com.sindresorhus.Actions.GetFileIconIntent,Get File Icon through Sindresorhus
com.alexhay.ToolboxProForShortcuts.SearchForEmojiIntent,Search for Emoji in Toolbox Pro
com.appliedphasor.working-copy.WriteFileIntent,Write File in Working Copy
com.appliedphasor.working-copy.CommitRepositoryIntent,Commit Repository in Working Copy
com.appliedphasor.working-copy.PushRepositoryIntent,Push Repository in Working Copy
com.sindresorhus.Actions.GetTitleOfURLIntent,Get Title of URL through Sindresorhus
com.Christopher-Hannah.Text-Case.ReplaceIntent,Replace in Text Case
com.minimasoftware.TimerPlus.StartQuickTimerIntent,Start Quick Timer in Timer Plus
com.apple.NanoSettings.NPRFSetWakeOnWristRaiseIntent,Set Wake on Wrist Raise on Watch
com.apple.NanoSettings.NPRFSetAutoLaunchAudioAppsIntent,Set Auto Launch Audio Apps on Watch
com.apple.PBBridgeSupport.BridgeIntents.COSListGizmoFacesIntent,List Gizmo Faces on Watch
com.apple.PBBridgeSupport.BridgeIntents.COSGetCurrentGizmoFaceIntent,Get Current Gizmo Face on Watch
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartRemoteWatchScreenIntent,Start Remote Watch Screen
net.shinyfrog.bear-IOS.grab,Grab Item on Shinyfrog
com.ngocluu.goodlinks.GetCurrentLink,Get Current Link in GoodLinks
com.ngocluu.goodlinks.AddLinkIntent,Add Link in GoodLinks
com.ngocluu.goodlinks.GetCurrentSelection,Get Current Selection in GoodLinks
com.ngocluu.goodlinks.LinkEntity,Filter Link in GoodLinks
com.ngocluu.goodlinks.OpenLinkIntent,Open Link in GoodLinks
me.damir.dropover-mac.AddToShelfIntent,Add to Shelf in Dropover Mac
app.cyan.taio.SaveClippingIntent,Save Clipping in Taio
is.workflow.actions.properties.note,Get Details of Note
is.workflow.actions.properties.shazam,Get Details of Shazam
is.workflow.actions.properties.appearance,Get Details of Appearance
dk.simonbs.Jayson.PrettifyJSONIntent,Prettify JSON in Jayson
com.elgato.eve.EVEMyCamerasIntent,Open Elgato Cameras
com.anthopak.SmartLightsController.GetCurrentRoomsIntent,Get Current Rooms in Smart Lights Controller
br.com.marcosatanaka.play.GetVideoIntent,Get Video in Play
com.Christopher-Hannah.Text-Case.TextCaseIntent,Convert Text Case
com.sindresorhus.Actions.ParseJSON5Intent,Parse JSON5 through Sindresorhus
com.sindresorhus.Actions.SymbolImageIntent,Symbol Image through Sindresorhus
is.workflow.actions.properties.itunesartist,Get Details of iTunes Artist
com.alexhay.ToolboxProForShortcuts.QuickMenuIntent,Quick Menu in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetMenuItemIntent,Get Menu Item in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetTextFromImageIntent,Get Text from Image in Toolbox Pro
net.shinyfrog.bear-iOS.SFSearchNotesIntent,Search Notes on Shinyfrog
net.shinyfrog.bear-iOS.SFAddToNoteIntent,Add to Note on Shinyfrog
net.shinyfrog.bear-iOS.SFCreateNoteIntent,Create Note on Shinyfrog
com.alexhay.ToolboxProForShortcuts.GetMovieDetailsIntent,Get Movie Details in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.DetectFacesIntent,Detect Faces in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.RecogniseObjectsInImageIntent,Recognise Objects in Image in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.RemoveEmojiIntent,Remove Emoji in Toolbox Pro
com.obdura.playlistimport.MakePlaylistFromURLIntent,Make Playlist from URL in Playlist Import
com.obdura.playlistimport.AllImportsFinishedIntent,All Imports Finished in Playlist Import
com.apple.Notes.DeleteNotesLinkAction,Delete Notes Link
com.agiletortoise.Drafts-OSX.OpenDraftIntent,Open Draft in Drafts
com.alexhay.ToolboxProForShortcuts.CreateRemindersListIntent,Create Reminders List in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.CreateReminderIntent,Create Reminder in Toolbox Pro
dk.simonbs.Scriptable.ParameterizedRunScriptIntent,Parameterized Run Script in Scriptable
com.pvieito.HomeBot.HomeBotGetHomeItemsIntent,Get Home Items in HomeBot
com.pvieito.HomeBot.HomeBotRunHomeActionIntent,Run Home Action in HomeBot
com.starbucks.mystarbucks.SBAOrderItemIntent,Order Item in My Starbucks
com.alexhay.ToolboxPro2.GenerateTextIntent,Generate Text in Toolbox Pro 2
com.overdesigned.Cheatsheet.CSAddCheatIntent,Add Cheat in Cheatsheet
com.zlineman.Jellyfish.ImportObjectsIntent,Import Objects in Jellyfish
com.zlineman.Jellyfish.GrabJellycutIntent,Grab Jellycut in Jellyfish
com.7Z88K9GUU8.com.rileytestut.AltStore.RefreshAllIntent,Refresh All in AltStore
com.openplanetsoftware.Just-Press-Record-for-iOS.StartRecordingIntent,Start Recording in Just Press Record
com.bloombuilt.dayone-ios.ShowEntriesIntent,Show Entries in Day One
ke.bou.WidgetPack.TextIntent,Text in WidgetPack
ke.bou.WidgetPack.ImageIntent,Image in WidgetPack
ke.bou.WidgetPack.StackIntent,Stack in WidgetPack
com.LennartBusch.Milage.TimeStampsIntent,Time Stamps in Milage
com.LennartBusch.Milage.TripLastDistanceIntent,Trip Last Distance in Milage
com.sindresorhus.One-Thing.SetTextIntent,Set Text through Sindresorhus
is.workflow.actions.lightroom.import,Import in Lightroom
com.agiletortoise.Drafts-OSX.QueryDraftsIntent,Query Drafts in Drafts
com.alexhay.ToolboxProForShortcuts.FilterListIntent,Filter List in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.RemoveDuplicatesIntent,Remove Duplicates in Toolbox Pro
com.sindresorhus.Aiko.TranscribeAudioIntent,Transcribe Audio in Aiko
com.culturedcode.ThingsiPhone.TAIItemEntity,Open Things 3 Item in Things iPhone
com.culturedcode.ThingsiPhone.TAIShowItems2,Show Things 3 Items in Things iPhone
com.alexhay.ToolboxProForShortcuts.SwitchCaseIntent,Switch Case in Toolbox Pro
com.sindresorhus.Lock-Screen-One.SetTextIntent,Set Text in Lock Screen One
com.rafaelsoh.dime.NewTransactionIntent,New Transaction in Dime
com.alexhay.Console.StartLoggingIntent,Start Logging in Console
com.alexhay.Console.OutputMessagesIntent,Output Messages in Console
com.alexhay.Console.ClearMessagesIntent,Clear Messages in Console
com.alexhay.Console.LogItemsIntent,Log Items in Console
in.muditbhargava.LookUp.FindCollectedWordsIntent,Find Collected Words in LookUp
com.apple.mobilesafari.BookmarkEntity,Filter Bookmark in Safari
ke.bou.GizmoPack.SnapshotMapIntent,Snapshot Map in GizmoPack
com.iconfactory.TotMobile.AddToDotIntent,Add to Dot in Tot Mobile
dk.simonbs.Retoot.CreateQuoteIntent,Create Quote in Retoot
com.sindresorhus.Actions.RandomColorIntent,Random Color through Sindresorhus
com.sindresorhus.Actions.OverwriteFile,Overwrite File through Sindresorhus
net.shinyfrog.bear-IOS.search,Search on Shinyfrog
com.culturedcode.ThingsiPhone.TAIEditItems,Edit Things 3 Items in Things iPhone
com.alexhay.ToolboxProForShortcuts.SmartMenuIntent,Smart Menu in Toolbox Pro
ke.bou.WidgetPack.ModifierRelativeFrameIntent,Modifier Relative Frame in WidgetPack
com.alexhay.MenuBox.ChooseMenuSetIntent,Choose Menu Set in MenuBox
com.apple.mobilesafari.CreateNewTab,Create New Tab in Safari
com.apple.mobilesafari.CreateNewTabGroup,Create New Tab Group in Safari
com.apple.mobilesafari.TabGroupEntity,Filter Tab Group in Safari
com.apple.mobilesafari.OpenTabGroup,Open Tab Group in Safari
com.apple.mobilesafari.OpenTab,Open Tab in Safari
com.apple.mobilesafari.OpenBookmark,Open Bookmark in Safari
in.muditbhargava.LookUp.ClipboardSearchIntent,Clipboard Search in LookUp
com.sindresorhus.Actions.Boolean,Boolean through Sindresorhus
com.sindresorhus.Actions.IsAccessibilityFeatureOn,Get if Accessibility Feature is On through Sindresorhus
com.microsoft.bing.OpenRewardsIntent,Open Rewards in Bing
com.alexhay.ToolboxProForShortcuts.FindMoviesIntent,Find Movies in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.FindMovies2Intent,Find Movies 2 in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetMovieDetails2Intent,Get Movie Details 2 in Toolbox Pro
com.sindresorhus.Actions.CalculateWithSoulver,Calculate with Soulver through Sindresorhus
com.sindresorhus.Actions.MusicPlaylist_AppEntity,Filter Music Playlist through Sindresorhus
br.com.marcosatanaka.musicbox.GetMusicIntent,Get Music in Music Box
br.com.marcosatanaka.music-harbor.ArtistAppEntity,Filter Artist in Music Harbor
com.skype.skype.call,Call in Skype
com.appliedphasor.working-copy.CloneRepositoryIntent,Clone Repository in Working Copy
com.sindresorhus.Actions.Authenticate2,Authenticate 2 through Sindresorhus
com.alexhay.ToolboxProForShortcuts.GetLocationFromCoordsIntent,Get Location from Coords in Toolbox Pro
co.bergen.Darkroom.HSLExportWithDarkroomIntent,HSL Export with Darkroom
com.omnigroup.OmniFocus3.iOS.AddTaskPaperIntent,Add Task Paper in OmniFocus 3
ke.bou.WidgetPack.SetPropertyIntent,Set Property in WidgetPack
ke.bou.WidgetPack.GradientIntent,Gradient in WidgetPack
com.alexhay.ToolboxProForShortcuts.ScanNFCIntent,Scan NFC in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetTextFromImagesIAIHIntent,Get Text from Images in Toolbox Pro
nl.jeffreykuiken.NoirApp.SetEnabledForSiteIntent,Set Enabled for Site in Noir
nl.jeffreykuiken.NoirApp.SetImageDimmingForSiteIntent,Set Image Dimming for Site in Noir
com.alexhay.nautomate.ChooseIntegrationIntent,Choose Integration in Nautomate
com.alexhay.nautomate.FindPagesIntent,Find Pages in Nautomate
com.alexhay.nautomate.GetTextFromPageIntent,Get Text from Page in Nautomate
ke.bou.WidgetPack.ModifierScaledToFillIntent,Modifier Scaled to Fill in WidgetPack
com.omnigroup.OmniFocus4.AddTaskIntent,Add Task in OmniFocus 4
com.apple.iBooks.SearchBooksIntent,Search Books in iBooks
com.omnigroup.OmniFocus4.FindProjectsIntent,Find Projects in OmniFocus 4
com.omnigroup.OmniFocus4.ShowFromChoiceIntent,Show From Choice in OmniFocus 4
com.omnigroup.OmniFocus4.AddTaskPaperIntent,Add Task Paper in OmniFocus 4
com.omnigroup.OmniFocus3.iOS.FindProjectsIntent,Find Projects in OmniFocus 3
com.omnigroup.OmniFocus3.iOS.ShowFromChoiceIntent,Show From Choice in OmniFocus 3
com.apple.Numbers.TSADocumentOpenIntent,Open Document in Numbers
fm.overcast.overcast.OCCurrentEpisodeInfoIntent,Current Episode Info in Overcast
com.culturedcode.ThingsiPad.TINAddTodoIntent,Add ToDo in Things 3
com.wiheads.paste.GetItemAtIndexIntent,Get Item at Index in Paste
com.alexhay.ToolboxProForShortcuts.ResizeImageExtendedIntent,Resize Image Extended in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.FilterImageIntent,Filter Image in Toolbox Pro
is.workflow.actions.wordpress.post,Post in WordPress
is.workflow.actions.trello.add.list,Add List in Trello
is.workflow.actions.trello.add.board,Add Board in Trello
com.sindresorhus.Actions.FormatDateDifferenceIntent,Format Date Difference through Sindresorhus
com.agiletortoise.Drafts5.SetDraftIntent,Set Draft in Drafts 5
fm.overcast.overcast.OCPlayIntent,Play in Overcast
