Action Name,Prompt Description,Action Function,Attack Operations
is.workflow.actions.splitpdf,Split PDF into Pages,action_splitpdf,None
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,Start Guided Access,action_start_guidedaccess,None
com.apple.mobiletimer.StartStopwatchIntent,Start Stopwatch,action_start_stopwatch,Resource Control
is.workflow.actions.statistics,Calculate Statistics,action_statistics,None
is.workflow.actions.stocks.quote,Get Stock Price,action_stock_quote,Data Collection
com.apple.VoiceMemos.StopRecording,Stop Recording,action_stop_recording,Resource Control
com.apple.mobiletimer.StopStopwatchIntent,Stop Stopwatch,action_stop_stopwatch,Resource Control
is.workflow.actions.takephoto,Take Photo,action_takephoto,None
is.workflow.actions.takescreenshot,Take Screenshot,action_takescreenshot,None
is.workflow.actions.takevideo,Take Video,action_takevideo,None
is.workflow.actions.text.changecase,Change Case,action_text_changecase,None
is.workflow.actions.text.combine,Combine Text,action_text_combine,None
is.workflow.actions.text.match,Match Text,action_text_match,None
is.workflow.actions.text.match.getgroup,Get Group from Matched Text,action_text_match_getgroup,Data Collection
is.workflow.actions.text.replace,Replace Text,action_text_replace,None
is.workflow.actions.text.split,Split Text,action_text_split,None
is.workflow.actions.text.translate,Translate Text,action_text_translate,None
com.apple.NanoSettings.NPRFSetTheaterModeIntent,Set Theater Mode on Watch,action_theatermode,Resource Control
is.workflow.actions.timer.start,Start Timer,action_timer_start,None
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,Toggle Alarm,action_toggle_turn_alarm,None
is.workflow.actions.alarm.toggle,Toggle Alarm,action_toggle_turn_alarm,None
com.apple.ShortcutsActions.SetSilentModeAction,Set Silent Mode,action_toggle_turnsilentmode,Resource Control
com.apple.ShortcutsActions.TranscribeAudioAction,Transcribe Audio,action_transcribe_audio,None
is.workflow.actions.trimvideo,Trim Media,action_trimvideo,None
is.workflow.actions.truetone.set,Set True Tone,action_truetone_set,Resource Control
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,Set Voice Control,action_turn_voicecontrol,Resource Control
is.workflow.actions.unzip,Extract Archive,action_unzip,Data Collection
is.workflow.actions.url,URL,action_url,None
is.workflow.actions.url.expand,Expand URL,action_url_expand,None
is.workflow.actions.url.getheaders,Get Headers of URL,action_url_getheaders,Data Collection
is.workflow.actions.urlencode,URL Encode,action_urlencode,None
is.workflow.actions.useractivity.open,Open User Activity,action_user_activity_open,None
is.workflow.actions.venmo.pay,Send Payment,action_venmo_pay,"Data Insertion, Data Exfiltration"
is.workflow.actions.venmo.request,Request Money,action_venmo_request,None
is.workflow.actions.vibrate,Vibrate Device,action_vibrate,None
is.workflow.actions.viewresult,View Content Graph,action_viewresult,None
is.workflow.actions.vpn.set,Set VPN,action_vpn_set,Resource Control
is.workflow.actions.waittoreturn,Wait to Return,action_waittoreturn,None
is.workflow.actions.wallpaper.set,Set Wallpaper Photo,action_wallpaper_set,Resource Control
is.workflow.actions.properties.weather.conditions,Get Details of Weather Conditions,action_weather_condition,Data Collection
is.workflow.actions.weather.currentconditions,Get Current Weather,action_weather_currentconditions,Data Collection
is.workflow.actions.weather.forecast,Get Weather Forecast,action_weather_forecast,Data Collection
com.apple.weather.OpenNotificationsConfigurationIntent,Open Notifications Configuration,action_weather_notification,None
com.apple.weather.WeatherIntent,Show Weather,action_weather_weatherintent,None
net.whatsapp.WhatsApp.openin,Send Photo via WhatsApp,action_whatsapp_openin,"Data Insertion, Data Exfiltration"
net.whatsapp.WhatsApp.send,Send WhatsApp Message,action_whatsapp_send,"Data Insertion, Data Exfiltration"
is.workflow.actions.wifi.set,Set Wi-Fi,action_wifi_set,Resource Control
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,External App Actions,action_external_app,None
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,External App Actions,action_external_app,None
com.burbn.instagram.openin,Post on Instagram,action_external_app,None
is.workflow.actions.tweet,Tweet,action_external_app,None
com.google.chrome.ios.OpenInChromeIntent,Open URLs in Chrome,action_external_app,None
is.workflow.actions.shazamMedia,Recognize Music,action_external_app,None
com.apple.TVRemoteUIService.LaunchApplicationIntent,Open TV App,action_external_app,None
com.apple.TVRemoteUIService.LaunchRemoteIntent,Open Remote Control TV,action_external_app,Resource Control
com.openai.chat.AskIntent,Ask ChatGPT,action_external_app,None
com.rivian.ios.consumer.OpenFrunkIntent,Open Frunk,action_external_app,None
com.apple.TVRemoteUIService.WakeAppleTVIntent,Wake Apple TV,action_external_app,None
com.apple.TVRemoteUIService.SleepAppleTVIntent,Sleep Apple TV,action_external_app,None
com.rivian.ios.consumer.CloseFrunkIntent,Close Frunk,action_external_app,None
com.sindresorhus.Actions.IsReachableIntent,Check Connection,action_external_app,Resource Control
com.google.chrome.ios.openurl,Open URL in Chrome,action_external_app,None
com.alexhay.ToolboxProForShortcuts.CropIntent,Crop,action_external_app,None
dk.simonbs.Scriptable.RunScriptInlineIntent,Run Script,action_external_app,None
is.workflow.actions.pocket.add,Add to Pocket,action_external_app,Data Insertion
is.workflow.actions.postonfacebook,Post on Facebook,action_external_app,None
is.workflow.actions.imgur.upload,Upload to Imgur,action_external_app,"Data Insertion, Data Exfiltration"
com.microsoft.msedge.OpenInChromeIntent,Open in Chrome,action_external_app,None
com.apple.Pages.TSADocumentOpenIntent,Open Pages Document,action_external_app,None
com.apple.TVRemoteUIService.PauseContentIntent,Pause Content on TV,action_external_app,Resource Control
com.apple.TVRemoteUIService.SkipContentIntent,Skip Content on TV,action_external_app,None
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,Launch Screen Saver on TV,action_external_app,"Data Insertion, Resource Control"
com.apple.TVRemoteUIService.SwitchUserAccountIntent,Switch User Account on TV,action_external_app,None
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,Toggle System Appearance on TV,action_external_app,None
com.apple.TVRemoteUIService.ToggleCaptionsIntent,Toggle Captions on TV,action_external_app,None
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,Reduce Loud Sounds on TV,action_external_app,None
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,Trim Text,action_external_app,None
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,Check Internet Connection,action_external_app,Resource Control
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,Check VPN Connection,action_external_app,Resource Control
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,Get Device Storage,action_external_app,Data Collection
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,Check if App Installed,action_external_app,None
com.alexhay.ToolboxProForShortcuts.SortListIntent,Sort List,action_external_app,None
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,View Map,action_external_app,None
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,Get Device Details,action_external_app,Data Collection
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,Calculate,action_external_app,None
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,Get Device Language,action_external_app,Data Collection
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,Get Battery Status,action_external_app,Data Collection
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,Quick Look,action_external_app,None
is.workflow.actions.evernote.get,Get EverNote,action_external_app,Data Collection
is.workflow.actions.evernote.delete,Delete EverNote,action_external_app,Trace Hiding
is.workflow.actions.evernote.append,Append to EverNote,action_external_app,None
com.winterowls.Night-Shift.RandomWallpaperIntent,Random Wallpaper,action_external_app,None
com.brave.ios.browser.OpenWebsiteIntent,Open Website in Brave,action_external_app,None
com.google.GoogleMobile.GoogleForQueryIntent,Search Google for,action_external_app,None
net.shinyfrog.bear-IOS.create,Create Bear Note,action_external_app,Data Insertion
is.workflow.actions.runapplescript,Run AppleScript,action_external_app,None
com.sindresorhus.Actions.IsOnlineIntent,Is Online,action_external_app,None
com.sindresorhus.Actions.Authenticate,Is Web Server Reachable,action_external_app,None
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,Remove Non-Printable Characters,action_external_app,Trace Hiding
com.sindresorhus.Actions.RemoveEmojiIntent,Remove Emoji,action_external_app,Trace Hiding
com.sindresorhus.Actions.TransformTextIntent,Transform Text,action_external_app,None
com.tijo.opener.Opener.show-options,Open URL in Opener,action_external_app,None
com.apple.iBooks.BookAppEntity,Open Book,action_external_app,None
com.tapbots.Tweetbot.tweet,Tweet with Tweetbot,action_external_app,None
com.culturedcode.ThingsTouch.addtask,Add ToDo on Things 3,action_external_app,Data Insertion
com.sindresorhus.Actions.IsShakingDevice,Is Shaking Device,action_external_app,None
dk.simonbs.DataJar.GetValueIntent,Get DataJar Value,action_external_app,Data Collection
dk.simonbs.DataJar.SetValueIntent,Set DataJar Value,action_external_app,Resource Control
com.sindresorhus.Actions.IsCellularDataOn,Is Cellular Data On,action_external_app,None
com.sindresorhus.Actions.IsBluetoothOnIntent,Is Bluetooth On,action_external_app,None
com.sindresorhus.Actions.IsConnectedToVPNIntent,Is Connected to VPN,action_external_app,Resource Control
com.sindresorhus.Actions.IsLowPowerModeIntent,Is Low Power Mode On,action_external_app,None
com.sindresorhus.Actions.IsSilentModeOnIntent,Is Silent Mode On,action_external_app,None
com.sindresorhus.Actions.IsDarkModeIntent,Is Dark Mode On,action_external_app,None
com.sindresorhus.Actions.GetDeviceOrientationIntent,Get Device Orientation,action_external_app,Data Collection
com.sindresorhus.Actions.GetActionsVersion,Get Actions Version,action_external_app,Data Collection
com.sindresorhus.Actions.GetBatteryStateIntent,Get Battery State,action_external_app,Data Collection
com.sindresorhus.Actions.GetDeviceDetailsExtended,Get Device Details Extended,action_external_app,Data Collection
com.apple.news.TagIntent,Open News,action_external_app,None
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,Add TaskPaper to OmniFocus,action_external_app,Data Insertion
is.workflow.actions.pocket.get,Get Item from Pocket,action_external_app,Data Collection
com.6X.LockLauncher.RefreshActivityIntent,Refresh Activity,action_external_app,None
com.adguard.ios.AdGuardVPN.VpnStateIntent,Get VPN State,action_external_app,Data Collection
dk.simonbs.DataJar.CheckIfValueExistsIntent,Check If Value Exists,action_external_app,None
com.todoist.ios.CreateTaskIntent,Create Task on Todoist,action_external_app,Data Insertion
com.leomehlig.today.AddTaskIntent,Add Task on Today,action_external_app,Data Insertion
com.rivian.ios.consumer.CloseLiftgateIntent,Close Liftgate,action_external_app,None
com.phocusllp.due.add,Add Reminder on Due,action_external_app,Data Insertion
io.pushcut.Pushcut.RunShortcutIntent,Run Shortcut on Pushcut,action_external_app,None
com.rivian.ios.consumer.UnlockDoorsIntent,Unlock Doors,action_external_app,None
com.microsoft.bing.OpenSydneyIntent,Open Sydney on Bing,action_external_app,None
com.sindresorhus.Actions.BlurImages,Blur Images,action_external_app,None
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,Authenticate,action_external_app,None
is.workflow.actions.trello.add.card,Add Card on Trello,action_external_app,Data Insertion
com.apple.iBooks.openin,Open in iBooks,action_external_app,None
is.workflow.actions.dropbox.open,Open in Dropbox,action_external_app,None
com.rivian.ios.consumer.LockDoorsIntent,Lock Doors,action_external_app,None
is.workflow.actions.trello.get,Get Trello,action_external_app,Data Collection
is.workflow.actions.properties.trello,Get Details of Trello,action_external_app,Data Collection
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,Get Audio Playback Destination,action_external_app,"Data Collection, Resource Control"
com.sindresorhus.Actions.GetAverageColorOfImage,Get Average Color of Image,action_external_app,Data Collection
com.sindresorhus.Actions.CreateColorImageIntent,Create Color Image,action_external_app,Data Insertion
company.thebrowser.ArcMobile2.SearchIntent,Search in Arc Mobile,action_external_app,None
com.apple.Keynote.KNDocumentPlayIntent,Play Keynote,action_external_app,Resource Control
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,Get Workouts,action_external_app,Data Collection
com.rivian.ios.consumer.OpenLiftgateIntent,Open Liftgate,action_external_app,None
is.workflow.actions.todoist.add,Add Todoist Item,action_external_app,Data Insertion
